sn,venue,roll_no,test
1,lab,1051,pretest - normalization
2,lab,904,pretest - normalization
3,lab,929,pretest - normalization
4,lab,1039,pretest - normalization
5,lab,1053,pretest - normalization
6,lab,945,pretest - normalization
7,lab,919,pretest - normalization
8,lab,903,pretest - normalization
9,lab,909,pretest - normalization
10,lab,934,pretest - normalization
11,lab,1042,pretest - normalization
12,lab,1040,pretest - normalization
13,lab,1030,pretest - normalization
14,lab,1041,pretest - normalization
15,lab,952,pretest - normalization
16,lab,807,pretest - normalization
17,lab,1031,pretest - normalization
18,lab,926,pretest - normalization
19,lab,956,pretest - normalization
20,lab,950,pretest - normalization
21,lab,821,pretest - normalization
22,lab,905,pretest - normalization
23,lab,1037,pretest - normalization
24,lab,840,pretest - normalization
25,lab,1001,pretest - normalization
26,lab,806,pretest - normalization
27,lab,943,pretest - normalization
28,lab,912,pretest - normalization
29,lab,1048,pretest - normalization
30,lab,930,pretest - normalization
31,lab,814,pretest - normalization
32,lab,1018,pretest - normalization
33,lab,1012,pretest - normalization
34,lab,1003,pretest - normalization
35,lab,1021,pretest - normalization
36,lab,805,pretest - normalization
37,lab,1057,pretest - normalization
38,lab,1052,pretest - normalization
39,lab,1049,pretest - normalization
40,lab,1026,pretest - normalization
41,lab,826,pretest - normalization
42,lab,953,pretest - normalization
43,lab,1033,pretest - normalization
44,lab,954,pretest - normalization
45,lab,843,pretest - normalization
46,lab,1034,pretest - normalization
47,lab,1032,pretest - normalization
48,lab,1029,pretest - normalization
49,lab,1008,pretest - normalization
50,lab,1007,pretest - normalization
51,lab,932,pretest - normalization
52,lab,1006,pretest - normalization
53,lab,910,pretest - normalization
54,lab,827,pretest - normalization
55,lab,923,pretest - normalization
56,lab,1011,pretest - normalization
57,lab,1009,pretest - normalization
58,lab,927,pretest - normalization
